Feature ID	KD001	KD002	KD003	KD004	KD005	KD006	KD007	KD008	KD009	KD010	KD011	KD012	KD013	KD014	KD015	KD016	KD017	KD018	KD019	KD020	KD021	KD022	KD023	KD024	KD025	KD026	KD027	KD028	KD029	KD030	KD031	KD032	KD033	KD034	KD035	KD036	KD037	KD038	KD039	KD040	KD041	KD042	KD043	KD044	KD045	KD046	KD047	KD048	KD049	KD050	KD051	KD052	KD053	KD054	KD055	KD056	KD057	KD058	KD059	KD060	KD061
65d43491988bfe557da4d86a5ba25dae	292	105	5795	4104	7863	4320	27764	7894	755	299	551	408	899	1031	339	802	941	1048	11316	700	110	1942	1685	8444	6298	841	2250	33158	14376	53001	18075	8750	10453	7896	20246	3543	375	172	125	788	343	151	191	435	305	8230	2396	1015	852	1089	73	1543	455	16184	81754	69771	5453	4351	28948	607	2846
a4cbe987942964b584e95e4efab6a176	0	0	0	0	0	0	0	0	0	0	119	0	39	104	0	110	20	0	0	429	313	190	398	6177	5180	281	1804	0	0	0	0	0	0	0	0	0	36	0	36	0	0	83	0	77	12	0	3397	341	1813	749	131	2806	2431	17117	0	0	1747	305	141	0	93052
d46e2205f0c6ecf67b51f83d111c509c	5	0	0	0	19	0	0	30	0	1161	2709	761	7289	10182	1150	14232	514	401	0	272	241	190	79	2821	1660	711	979	609	0	0	7	70	60	106	0	0	1458	778	185	2878	109	1225	470	3495	481	74	1218	51	1076	520	88	1543	933	9321	595	123	1284	205	4603	3091	51447
86748e6e46eddb955f6918863b3cf191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24476	0	45371	0	9455	0	0
4cbfff144d4e7a4e0f4619ed505be070	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	58	0	0	0	85	253	374	234	2254	2486	247	1304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1377	244	801	267	0	828	1043	8193	0	0	1028	74	84	0	51876
1930d2ae4018583d606e705beea31bd1	6	30	62	0	97	612	2166	7057	26	448	2133	315	2878	2126	476	3591	263	0	180	2036	15	366	563	1484	1355	3366	915	5298	45	506	268	1085	368	2012	414	93	349	321	86	989	212	686	128	1055	336	732	4031	42	83	384	90	3917	52	1119	604	1377	3365	729	1880	1023	0
581a55014641e1cd55cdc272c0365a28	0	0	0	0	0	0	0	0	0	0	45	0	47	24	0	22	0	0	0	0	187	436	38	2201	1933	0	809	0	0	0	0	0	0	0	0	0	17	0	0	0	0	31	0	14	0	0	1498	90	1025	264	44	1514	1022	10135	0	0	892	192	158	0	42993
daae43be6cf06991f62a085ba8bff3b6	9	41	189	610	252	684	797	5906	106	376	3127	193	3402	1952	74	3337	0	0	568	1943	0	847	564	909	2046	1379	368	4329	0	777	277	580	658	1642	775	41	376	430	97	1185	208	812	146	957	362	54	5512	100	59	395	102	3175	60	2042	1098	1361	2069	671	1451	1181	0
ff9d93d7b7e46787568f2d241caeaf3b	0	0	0	0	0	0	0	0	0	0	41	0	0	34	0	111	0	0	0	0	50	35	129	1661	1929	468	581	0	0	0	0	0	0	0	0	0	30	0	0	26	0	12	0	0	0	0	609	98	720	169	10	456	586	6279	0	0	938	132	31	0	38396
95fdd816723ca482a5caba10bea171c8	12	17	93	116	77	222	321	5841	18	615	1813	154	2266	2291	395	2931	495	92	35	912	30	279	465	313	1113	772	982	3623	49	322	284	825	226	1319	508	94	557	247	120	1254	303	368	123	1505	183	26	2581	100	54	296	261	2938	37	1644	329	765	1485	661	1462	779	0
938fbbe51af86d1d7ebd6817a0f0bd24	0	6	37	0	15	65	852	682	0	1414	2294	434	4273	4076	932	9846	802	437	79	292	0	10	90	0	477	288	77	610	0	22	0	304	83	251	69	31	881	612	127	2147	375	1311	203	2297	587	0	294	0	32	116	41	1120	28	0	30	340	303	73	4443	3067	0
f80166d86a7f15b69b6ac97505299c3a	0	0	80	157	5	127	484	1908	46	207	5880	159	5632	2401	151	3349	210	110	0	634	168	275	409	479	1941	1092	204	1847	49	259	0	537	197	667	42	13	357	222	23	834	41	1315	107	1176	93	59	1734	44	7	316	15	3829	49	1918	205	424	1089	1164	1038	1001	0
5a7b179b1b45f0fe2282f260bf073f60	54	82	173	657	419	531	2510	1078	76	181	208	136	587	388	105	458	255	368	487	250	109	506	219	980	961	829	221	5570	566	1254	402	537	284	430	566	194	176	64	40	338	128	95	59	166	65	919	1037	1172	243	254	11	1168	125	2086	2381	1652	851	151	9359	316	0
945184b6386c192c0066e0a98a154780	0	0	0	0	0	0	0	0	0	1711	2547	586	4370	5621	899	11456	574	833	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	12	1218	464	194	2373	265	975	656	2348	468	0	0	0	0	0	0	0	0	0	220	0	109	0	3340	3529	0
aa9b3a1418d146c262ec63305292065a	21	13	526	181	237	262	2054	935	78	52	71	40	226	112	16	128	156	155	872	75	133	221	139	584	759	15	184	1534	1276	3305	879	440	755	745	1152	149	136	50	0	158	137	0	13	91	30	419	310	52	69	111	0	113	40	3555	7459	7518	792	61	1564	72	0
b44aff2995f396f00ad579d8e6684335	0	0	100	0	51	312	1021	4072	11	211	2338	131	2394	1343	198	2171	22	362	209	501	18	275	288	852	967	861	272	2635	28	163	136	574	93	726	107	21	183	146	93	420	198	480	0	645	240	87	2054	0	44	263	97	2037	48	638	318	975	493	349	1726	734	0
333bbf9224442fc10cd497377d2b1d01	0	0	0	0	0	0	0	0	0	1253	1474	297	3512	4039	719	8645	567	209	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	889	762	254	2616	368	865	329	2314	721	0	0	0	0	0	0	0	0	0	0	0	0	0	3133	2285	0
